<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AUDUSD,D,20170704,000000,0.7658600,0.7683000,0.7588000,0.7598700,1004032
AUDUSD,D,20170705,000000,0.7601600,0.7632200,0.7568000,0.7602500,1052569
AUDUSD,D,20170706,000000,0.7601200,0.7614900,0.7574000,0.7583300,1082468
AUDUSD,D,20170707,000000,0.7583300,0.7623300,0.7569000,0.7598500,1110815
AUDUSD,D,20170708,000000,0.7597700,0.7602000,0.7597700,0.7602000,3
AUDUSD,D,20170709,000000,0.7600000,0.7602400,0.7596600,0.7598100,366
AUDUSD,D,20170710,000000,0.7602700,0.7614800,0.7584000,0.7605500,811964
AUDUSD,D,20170711,000000,0.7604500,0.7642700,0.7600000,0.7635000,960307
AUDUSD,D,20170712,000000,0.7634700,0.7685500,0.7632000,0.7675700,1075831
AUDUSD,D,20170713,000000,0.7675600,0.7739900,0.7672000,0.7730800,1058810
AUDUSD,D,20170714,000000,0.7728200,0.7834100,0.7722000,0.7827600,1054187
AUDUSD,D,20170715,000000,0.7825000,0.7829000,0.7823900,0.7823900,5
AUDUSD,D,20170716,000000,0.7822000,0.7835000,0.7819000,0.7825900,1039
AUDUSD,D,20170717,000000,0.7822500,0.7838500,0.7789000,0.7796900,1099751
AUDUSD,D,20170718,000000,0.7796300,0.7942800,0.7784000,0.7915400,1428656
AUDUSD,D,20170719,000000,0.7913900,0.7959100,0.7906000,0.7952000,1100121
AUDUSD,D,20170720,000000,0.7949900,0.7989600,0.7895000,0.7956100,1330623
AUDUSD,D,20170721,000000,0.7957000,0.7959400,0.7874000,0.7911600,1200019
AUDUSD,D,20170722,000000,0.7913000,0.7913000,0.7910000,0.7910500,6
AUDUSD,D,20170723,000000,0.7917000,0.7917000,0.7898000,0.7900500,477
AUDUSD,D,20170724,000000,0.7901400,0.7967400,0.7901000,0.7924000,1035701
AUDUSD,D,20170725,000000,0.7923400,0.7970300,0.7900000,0.7935800,1059472
AUDUSD,D,20170726,000000,0.7935900,0.8014000,0.7876000,0.8005000,1397743
AUDUSD,D,20170727,000000,0.8001600,0.8065600,0.7954000,0.7963800,1402985
AUDUSD,D,20170728,000000,0.7963800,0.8007300,0.7934000,0.7983700,1313492
AUDUSD,D,20170729,000000,0.7983000,0.7984000,0.7981900,0.7981900,4
AUDUSD,D,20170730,000000,0.7984800,0.7989000,0.7974800,0.7974800,91
AUDUSD,D,20170731,000000,0.7986400,0.8004000,0.7955000,0.7999600,1160161
AUDUSD,D,20170801,000000,0.7999300,0.8043000,0.7958000,0.7968000,1326696
AUDUSD,D,20170802,000000,0.7965700,0.7992900,0.7938000,0.7960900,1200147
AUDUSD,D,20170803,000000,0.7961200,0.7968900,0.7913000,0.7947000,1275006
AUDUSD,D,20170804,000000,0.7946500,0.7979700,0.7889000,0.7926700,1285812
AUDUSD,D,20170805,000000,0.7921800,0.7927800,0.7921800,0.7927600,28
AUDUSD,D,20170806,000000,0.7912000,0.7924000,0.7912000,0.7917000,396
AUDUSD,D,20170807,000000,0.7916000,0.7948700,0.7896000,0.7912000,1012957
AUDUSD,D,20170808,000000,0.7909400,0.7943000,0.7884000,0.7911500,1124287
AUDUSD,D,20170809,000000,0.7911100,0.7915300,0.7853000,0.7886500,1250682
AUDUSD,D,20170810,000000,0.7886400,0.7910800,0.7863000,0.7874200,1163182
AUDUSD,D,20170811,000000,0.7874000,0.7909400,0.7836000,0.7890900,1246969
AUDUSD,D,20170812,000000,0.7890200,0.7891100,0.7890200,0.7891000,6
AUDUSD,D,20170813,000000,0.7885000,0.7893000,0.7885000,0.7890200,197
AUDUSD,D,20170814,000000,0.7893600,0.7919000,0.7842000,0.7851200,1037286
AUDUSD,D,20170815,000000,0.7850000,0.7876700,0.7805000,0.7819600,935338
AUDUSD,D,20170816,000000,0.7819000,0.7934000,0.7814000,0.7924000,1059058
AUDUSD,D,20170817,000000,0.7923000,0.7962800,0.7877000,0.7884900,1157309
